proj_id,proj_name,pdo,region,country_code,country_name,proj_approval_fy,asa_approval_date,task_type,proj_url,product_line_type,lending_instrument,lead_gp,ttl,agreement_type,commitment_amount,ida_cycle_approval,proj_status,product_line_name,contrib_gp,theme
P177308,NG Accelerating Resource Mobilization Reforms PforR,The Program Development Objective (PDO) is to raise non oil revenues and safeguard oil and gas revenues.,Western and Central Africa,NGA,Federal Republic of Nigeria,2024,NA,NA,https://opswork.worldbank.org/home/P177308,Lending Product,PforR,GOV,Moses Misach Kajubi (ADM),IBRD,500000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P510242,"Sustainable Procurement, Environmental and Social Standards Enhancement Project (SPESSE)","The project development objective is to develop sustainable capacity in managing procurement, environment and social standards in the public and private sectors.",Western and Central Africa,NGA,Federal Republic of Nigeria,2025,NA,NA,https://opswork.worldbank.org/home/P169405,Lending Product,IPF,GOV,Ishtiak Siddique (ADM),IDA,80000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P181476,Nigeria Human Capital Opportunities for Prosperity and Equity (HOPE) - Governance,To support the Federal Republic of Nigeria in strengthening financial and human resource management in basic education and primary heath care sectors.,Western and Central Africa,NGA,Federal Republic of Nigeria,2025,NA,NA,https://opswork.worldbank.org/home/P181476,Lending Product,PforR,GOV,Ikechukwu John Nweje (ADM),IDA,0,Pre-IDA21,NA,NA,NA,Environmental and Social
P506443,Mauritania Public Spending Efficiency,Improve public financial management systems and accountability for enhanced efficiency of social spending,Western and Central Africa,MRT,Islamic Republic of Mauritania,2025,NA,NA,https://opswork.worldbank.org/home/P506443,Lending Product,PforR,GOV,Fatou Mbacke Dieng (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P505030,"Improving Performance, Accountability and Transparency in Cameroon PforR","To improve domestic revenue mobilization; and the accountability and transparency of public finances, including in selected sectors.",Western and Central Africa,CMR,Republic of Cameroon,2025,NA,NA,https://opswork.worldbank.org/home/P505030,Lending Product,PforR,GOV,Hugues Agossou (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P176445,PFM for Service Delivery Program,"To improve resource mobilization and allocation, budget execution and accountability.",Western and Central Africa,GHA,Republic of Ghana,2022,NA,NA,https://opswork.worldbank.org/home/P176445,Lending Product,PforR,GOV,Raymond Muhula (ADM),IDA,150000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P513657,Sovereign Wealth Fund Options to Support Macro-Fiscal Stability and Sustainable Development in Guinea,"To support the Government of Guinea (GoG) to design the macro-fiscal and operational aspects of its Sovereign Fund, including assessing and designing appropriate savings, stabilization, and investment mechanisms, all anchored in Guinea's macro?fiscal framework.",Western and Central Africa,GIN,Republic of Guinea,2026,2026-03-06T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P513657,Analytic and Advisory Activities Product,NA,GOV,Suren Chandra Tripathi (ADM),NA,NA,IDA21,NA,NA,NA,Environmental and Social
P174822,Niger Public Sector Management for Resilience and Service Delivery Program,"The PDO is to strengthen public expenditure and human resources management to improve the availability in underserved areas of (i) textbooks, and essential medicines, and (ii) teachers, and health workers in public primary schools and health centers.",Western and Central Africa,NER,Republic of Niger,2022,NA,NA,https://opswork.worldbank.org/home/P174822,Lending Product,PforR,GOV,Murielle Babatounde (ADM),IDA,191500000,Pre-IDA21,NA,NA,NA,Environmental and Social
P509601,Niger Food Security and Emergency Access to Essential  Services Project,"To maintain continuous access to adequate food, essential healthcare, and education services to people of Niger and strengthen revenue mobilization for the delivery of these services.",Western and Central Africa,NER,Republic of Niger,2025,NA,NA,https://opswork.worldbank.org/home/P509601,Lending Product,IPF,GOV,Tahirou Kalam (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P510613,Strengthening Senegal?s Fiscal Sustainability Program,"To improve public debt sustainability, strengthen public financial management, and increase domestic resource mobilization.",Western and Central Africa,SEN,Republic of Senegal,2025,NA,NA,https://opswork.worldbank.org/home/P510613,Lending Product,PforR,GOV,Julia Dhimitri (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
